instance,seed,objects,reachable_targets,tau_vs_full,random,small_first,tpe,target_mean,target_ucb,target_eps,psc,wpsc,bestfirst
0,202608190000,168,138,0.26482044885142486,144.25,131.0,132.0,141.3,154.2,142.7,142.2,142.2,142.2
1,202608190001,168,140,0.3825184261187248,138.75,123.0,146.0,139.9,147.1,137.5,145.0,145.0,145.0
2,202608190002,168,142,-0.08827348295047495,136.25,124.0,150.0,136.8,139.0,144.6,144.4,144.4,144.4
3,202608190003,168,155,0.08827348295047495,140.4,132.0,156.0,136.8,144.4,143.3,146.8,146.8,146.8
4,202608190004,168,139,0.3188740696088466,141.8,129.0,136.0,138.3,153.2,142.5,141.6,141.6,141.8
5,202608190005,168,151,0.2988071523335984,140.55,134.0,145.0,145.0,153.8,142.3,137.8,137.8,137.8
6,202608190006,168,151,0.3236694374850748,139.85,131.0,138.0,139.4,144.5,139.9,137.6,137.6,137.6
7,202608190007,168,137,0.14712247158412492,139.45,132.0,157.0,140.4,151.1,146.2,144.2,144.2,144.2
8,202608190008,168,149,0.44136741475237473,141.3,121.0,140.0,138.8,154.9,142.6,141.8,141.8,141.8
9,202608190009,168,151,0.11952286093343935,142.4,121.0,145.0,141.3,153.6,141.3,134.4,134.4,134.4
10,202608190010,168,145,0.5002164033860248,139.5,125.0,141.0,138.1,146.0,140.0,143.2,143.2,143.2
11,202608190011,168,139,-0.029424494316824985,140.55,125.0,152.0,138.0,154.9,142.0,139.2,139.2,139.2
12,202608190012,168,146,0.26482044885142486,140.85,124.0,137.0,135.8,151.6,141.1,137.2,137.2,137.2
13,202608190013,168,146,0.14712247158412492,141.3,128.0,147.0,142.5,145.5,142.9,137.0,137.0,137.0
14,202608190014,168,145,-0.08827348295047495,142.9,139.0,130.0,134.0,131.1,139.8,140.4,140.4,140.4
15,202608190015,168,144,0.6179143806533247,142.65,138.0,140.0,141.9,142.1,140.2,141.4,141.4,141.4
16,202608190016,168,147,0.2390457218668787,140.7,139.0,136.0,139.0,148.6,145.1,138.8,138.8,138.8
17,202608190017,168,152,0.14712247158412492,140.4,133.0,142.0,136.7,145.8,136.1,138.8,138.8,138.8
18,202608190018,168,138,0.20597146021777488,140.4,134.0,148.0,139.2,145.0,139.8,140.8,140.8,140.8
19,202608190019,168,150,0.26482044885142486,139.6,129.0,144.0,132.7,148.5,139.2,142.2,142.2,142.2
